Data,Investido,TIpo,Quem investiu,Valor,,,,,,,,,,,,,,,,,,,,
12/01/2015,Cabe na mala,raised funds from,Abril Plug and Play,"BRL 140,00",,,,,,,,,,,,,,,,,,,,
13/01/2015,Fleety,raised funds from,Abril Plug and Play,"BRL 140,01",,,,,,,,,,,,,,,,,,,,
14/01/2015,Lotebox,raised funds from,Abril Plug and Play,"BRL 140,02",,,,,,,,,,,,,,,,,,,,
15/01/2015,Nutrisoft,raised funds from,Abril Plug and Play,"BRL 140,03",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2015,GPS Conecta,merged with,- Safebus,,01/01/2015,GPS Conecta,merged with,- Safebus,,01/01/2015,GPS Conecta,merged with,- Safebus,,01/01/2015,GPS Conecta,merged with,- Safebus,,01/01/2015,GPS Conecta,merged with,- Safebus,
01/01/2015,ZeroPaper,was acquired by,- Intuit,,01/01/2015,ZeroPaper,was acquired by,- Intuit,,01/01/2015,ZeroPaper,was acquired by,- Intuit,,01/01/2015,ZeroPaper,was acquired by,- Intuit,,01/01/2015,ZeroPaper,was acquired by,- Intuit,
01/01/2015,Linte,raised funds from,- 500 Startups,USD,01/01/2015,Linte,raised funds from,- 500 Startups,USD,01/01/2015,Linte,raised funds from,- 500 Startups,USD,01/01/2015,Linte,raised funds from,- 500 Startups,USD,01/01/2015,Linte,raised funds from,- 500 Startups,USD
01/01/2015,Superbank,was acquired by,- Banco Santander,,01/01/2015,Superbank,was acquired by,- Banco Santander,,01/01/2015,Superbank,was acquired by,- Banco Santander,,01/01/2015,Superbank,was acquired by,- Banco Santander,,01/01/2015,Superbank,was acquired by,- Banco Santander,
01/01/2015,Primordia,was acquired by,- Vtex,,01/01/2015,Primordia,was acquired by,- Vtex,,01/01/2015,Primordia,was acquired by,- Vtex,,01/01/2015,Primordia,was acquired by,- Vtex,,01/01/2015,Primordia,was acquired by,- Vtex,
01/01/2015,Reclamao.com,raised funds from,"- Grow Ventures
   - C2i",,01/01/2015,Reclamao.com,raised funds from,"- Grow Ventures
   - C2i",,01/01/2015,Reclamao.com,raised funds from,"- Grow Ventures
   - C2i",,01/01/2015,Reclamao.com,raised funds from,"- Grow Ventures
   - C2i",,01/01/2015,Reclamao.com,raised funds from,"- Grow Ventures
   - C2i",
01/01/2015,VMotors,was acquired by,- Webmotors,,01/01/2015,VMotors,was acquired by,- Webmotors,,01/01/2015,VMotors,was acquired by,- Webmotors,,01/01/2015,VMotors,was acquired by,- Webmotors,,01/01/2015,VMotors,was acquired by,- Webmotors,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2014,Worldpackers,raised funds from,- IndicatorCapital,"BRL 2,000,000",,,,,,,,,,,,,,,,,,,,
01/12/2014,Satellogic,raised funds from,- NXTP Labs,"USD 350,000",,,,,,,,,,,,,,,,,,,,
