Data,Startup,O que,Investidor,Valor,
9/1/2015,Dinheirama,raised funds from,Rico,"BRL 2,000,000",
9/1/2015,ezBill,was acquired by,Asaas,,
9/1/2015,Exact Sales,raised funds from,,"BRL 10,000,000",
7/1/2015,Kickoff,raised funds from,Monashees Capital,"USD 1,600,000",
8/1/2015,Loggi,raised funds from,"Monashees Capital
Dragoneer Investment Group
Qualcomm Ventures","BRL 50,000,000",
7/1/2015,Hotel Urbano,raised funds from,Priceline Group,"USD 60,000,000",
7/1/2015,Resultados Digitais,raised funds from,DGF Investimentos,"BRL 15,000,000",
6/1/2015,Contabilizei Contabilidade Online,raised funds from,Kaszek Ventures,,
6/1/2015,Beleza na Web,raised funds from,,"USD 30,000,000",
6/1/2015,Sieve,was acquired by,B2W,"BRL 130,000,000",
6/1/2015,Visor,raised funds from,Accera,,
6/1/2015,GetNinjas,raised funds from,"Tiger Global Management
Kaszek Ventures
Monashees Capital","BRL 40,000,000",
6/1/2015,Descomplica,raised funds from,Amadeus Capital Partners,"USD 7,000,000",
6/1/2015,Sub100,was acquired by,Zap,,
6/1/2015,Meus Pedidos,raised funds from,"Monashees Capital
Qualcomm Ventures","USD 1,870,000",
6/1/2015,Smartbill RBM,raised funds from,Fundo de Inovação Paulista,,
6/1/2015,TecnoNutri,was acquired by,Minha Vida,,
6/1/2015,Target.IT,merged with,Spadari,,
6/1/2015,Pareto Group,incubated by,StartSe,"BRL 1,000,000",
6/1/2015,Asaas,raised funds from,CVentures Primus,"BRL 2,000,000",
6/1/2015,Nubank,raised funds from,Tiger Global Management,"USD 30,000,000",
6/1/2015,iFood,raised funds from,Movile,"USD 50,000,000",
5/1/2015,Submarino Viagens,was acquired by,CVC,"BRL 80,000,000",
5/1/2015,Logovia,merged with,We Do Logos,,
5/1/2015,EduK,raised funds from,Accel Partners,"USD 10,000,000",
5/1/2015,Geekie,raised funds from,"Gera Venture
Mitsui & Co
Omidyar","USD 7,000,000",
5/1/2015,EduK,raised funds from,Monashees Capital,"USD 10,000,000",
5/1/2015,Edools,raised funds from,500 Startups,,
5/1/2015,Monetar,was acquired by,Geração Futuro,,
4/1/2015,Scup,was acquired by,Sprinklr,BRL,
4/1/2015,OndaLocal,raised funds from,"John Berkowitz
Narbona Hills","USD 1,000,000",
4/1/2015,Mercado Eletrônico,raised funds from,DGF Investimentos,"BRL 30,000,000",
4/1/2015,A Deliveria,was acquired by,iFood,,
4/1/2015,eÓtica,merged with,Lema21,,
4/1/2015,TrabalhoJá,raised funds from,Capital Indigo,"BRL 20,000,000",
4/1/2015,Samba Ads,raised funds from,,"BRL 3,000,000",
4/1/2015,TrabalhoJá,raised funds from,Capital Indigo,"BRL 20,000,000",
4/1/2015,Dress & Go,raised funds from,Kaszek Ventures,,
4/1/2015,Vemm,was acquired by,QuinStreet,,
4/1/2015,Movile,raised funds from,Naspers,"BRL 125,000,000",
4/1/2015,Exxemplo,was acquired by,B2Finance,"BRL 7,000,000",
4/1/2015,Rock Content,raised funds from,,"BRL 6,000,000",
4/1/2015,KPL Soluções,was acquired by,MercadoLibre,"BRL 50,000,000",
4/1/2015,Agendor,raised funds from,HBS Alumni Angels,"BRL 1,200,000",
4/1/2015,Home2Home,raised funds from,Mario Letelier,"BRL 3,000,000",
4/1/2015,Ezlike,was acquired by,Gravity4,,
3/1/2015,ChefsClub,raised funds from,Confrapar,"BRL 3,000,000",
3/1/2015,Netshoes,raised funds from,"Riverwood Capital
IFC","USD 45,000,000",
3/1/2015,Apetitar,was acquired by,iFood,,
3/1/2015,Consulfarma,was acquired by,MV,,
3/1/2015,Vivera,was acquired by,Zenvia,,
3/1/2015,Decolar.com,raised funds from,Expedia,"USD 270,000,000",
3/1/2015,Ventrix,raised funds from,"BRL 5,000,000",,
3/1/2015,Navita,raised funds from,DLM,,
3/1/2015,Startupi,was acquired by,Beats Brasil,,
2/1/2015,w3net,was acquired by,Lugar de Gente,,
2/1/2015,RBM Solutions,raised funds from,Salix Group,"BRL 20,000,000",
2/1/2015,Chegue.lá,was acquired by,ClickBus,,
2/1/2015,Voopter,raised funds from,Global Founders Capital,,
2/1/2015,pinGObox,was acquired by,Cappta,,
2/1/2015,Arquivar,was acquired by,Recall,,
2/1/2015,ContaAzul,raised funds from,"Tiger Global Management
500 Startups
Ribbit Capital
Valar Ventures
Monashees Capital","USD 9,300,000",
2/1/2015,Concil,raised funds from,Fundo de Inovação Paulista,"BRL 1,000,000",
2/1/2015,Agrid,incubated by,Wayra Brasil,"BRL 140,000",
2/1/2015,Conube,raised funds from,Carlos Gamboa,,
2/1/2015,TraktoPRO,raised funds from,João Kepler Braga,,
2/1/2015,Neolog,was acquired by,Totvs,"BRL 15,500,000",
2/1/2015,Ecommet,raised funds from,MercadoLibre,,
2/1/2015,Aquarius,was acquired by,Senior Solution,"BRL 6,500,000",
2/1/2015,Nativoo,raised funds from,Sbtur,,
1/1/2015,eStoks,raised funds from,Performa,"BRL 5,000,000",
2/1/2015,99 Taxis,raised funds from,"Tiger Global Management
Monashees Capital
Qualcomm Ventures",,
1/1/2015,Seekr,raised funds from,CVentures Primus,,
1/1/2015,Sontra,raised funds from,Valor Capital,"BRL 5,000,000",
1/1/2015,GPS Conecta,merged with,Safebus,,
1/1/2015,ZeroPaper,was acquired by,Intuit,,
1/1/2015,Linte,raised funds from,500 Startups,USD,
1/1/2015,Superbank,was acquired by,Banco Santander,,
1/1/2015,Primordia,was acquired by,Vtex,,
1/1/2015,VMotors,was acquired by,Webmotors,,
1/1/2015,Reclamao.com,raised funds from,"Grow Ventures
C2i",,
12/1/2014,Satellogic,raised funds from,Fundo Pitanga,,
12/1/2014,Worldpackers,raised funds from,IndicatorCapital,"BRL 2,000,000",
12/1/2014,Enjoei,raised funds from,,"BRL 18,000,000",
12/1/2014,Medicware,was acquired by,Pixeon,,
12/1/2014,Softpharma,was acquired by,Linx,"BRL 44,000,000",
12/1/2014,Satellogic,raised funds from,NXTP Labs,"USD 350,000",
12/1/2014,NWB,raised funds from,"e.Bricks Digital
Joá Investimentos",,
