NomeCandidato;NomeFornecedor;Valor;Descricao
OSVALDO ALVES RIBEIRO NETO;OSVALDO ALVES RIBEIRO;1700;SANTINHO
OSVALDO ALVES RIBEIRO NETO;OSVALDO ALVES RIBEIRO;6000;SANTINHO
OSVALDO ALVES RIBEIRO NETO;OSVALDO ALVES RIBEIRO;7000;SANTINHO
PEDRO TELES DE CARVALHO;AGENOR GERONIMO DE SOUZA;750;SANTINHO
MARCELO SIQUEIRA DE OLIVEIRA;CARLOS CESAR CORREIA DE MESSIAS;300;DOAÌàÌÄO DE 30 MIL SANTINHOS 0åá4X0åá1 COLORIDO R$ 0åá01 - REF. A NF 77
MARIA AUXILIADORA DA SILVA CAMBESSA;ELEICAO 2014 WHERLES FERNANDES DA ROCHA DEPUTADO FEDERAL;99,9;30 MIL SANTINHOS 
ANTONIO GILSON DE AMORIM SANTOS;ELEICAO 2014 WHERLES FERNANDES DA ROCHA DEPUTADO FEDERAL;99,9;DOAÌàÌÄO DE 30.000 MIL SANTINHOS 
FRANCISCO DE ALMEIDA BRAGA;ELEICAO 2014 WHERLES FERNANDES DA ROCHA DEPUTADO FEDERAL;33,3;DOAÌàÌÄO DE 10.000 ( DEZ MIL ) SANTINHOS COM VALOR UNITÌRIO DE R$: 3åá33 CADA
JANILDO NONATO MONTEIRO;ELEICAO 2014 WHERLES FERNANDES DA ROCHA DEPUTADO FEDERAL;99,9;SANTINHO
JÌ_LIO CÌäSAR PAIVA DE MOURA;ELEICAO 2014 WHERLES FERNANDES DA ROCHA DEPUTADO FEDERAL;99,9;SANTINHOS
MARCOS ANTONIO SILVA TORRES;GRAFICA E EDITORA FRANCARLOS LTDA. - ME;1810;5.000 UNID SANTINHOS E 1.250 FOLDERS
FRANCISCO CARLOS OLIVEIRA DA CRUZ;COMISSAO DIRETORA REGIONAL PROVISORIA DO PARTIDO TRABALHISTA DO BRASIL;800;SANTINHOS
JOELSO DOS SANTOS PONTES;ELEICAO 2014 JESSICA ROJAS SALES DEPUTADO FEDERAL;572,15;SANTINHOS
FRANCISCO DAS CHAGAS ROMAO;ELEICAO 2014 JESSICA ROJAS SALES DEPUTADO FEDERAL;572,15;SANTINHO MEDINDO 7X10CM 4X4 CORES PAPEL COUCHE115GR DOBRADINHAS
LUIZ GONZAGA ALVES FILHO;ELEICAO 2014 JESSICA ROJAS SALES DEPUTADO FEDERAL;572,14;SANTINHOS MEDINDO 7X10CMåá 4X4 CORESåá PAPEL COUCHE 115GR DOBRADINHAS 
MARIA PERPETUA DE ALMEIDA;ELEICAO 2014 DILMA VANA ROUSSEFF PRESIDENTE;7029;SANTINHOS MODELO CARD 
MARIA PERPETUA DE ALMEIDA;ELEICAO 2014 DILMA VANA ROUSSEFF PRESIDENTE;6600;SANTINHOS DILMA 4X4 CORES-AC
